திரைப்படம்,பாடலாசிரியர்,இசையமைப்பாளர்,பாடல்,வருடம்,பாடியவர்கள்,பாடல்வரிகள்,மதிப்பீடு,வகை,நுகர்ச்சி
சரவணன் இருக்க பயமேன்,Yugabharathi,D.இமான்,எம்புட்டு இருக்குது ஆச,2017,"['சீன் ரொல்டன்', ' கல்யாணி நாயர் ']",எம்புட்டு இருக்குது ஆச உன்மேல      அதக்காட்டப்போறேன்            அம்புட்டு அழகையும் நீங்க தாலாட்ட      கொடியேத்த வாரேன்            உள்ளத்தக்கொடுத்தவன் ஏங்கும்போது      உம்முன்னு இருக்குறியே            செல்லத்த எடுத்துக்க கேட்க வேணாம்      அம்மம்மா அசத்துறியே            கொட்டிக்கவுக்குற ஆளையே இந்தாடி      (எம்புட்டு)       கள்ளம் கபடம் இல்ல ஒனக்கு      என்ன இருக்குது மேலும் பேச            பள்ளம் அறிஞ்சி வெள்ளம் வடிய      சொக்கிக்கெடக்குறேன் தேகம் கூச            தொட்டுக்கலந்திட நீ துனிஞ்சா      மொத்த ஒலகையும் பார்த்திடலாம்            சொல்லிக்கொடுத்திட நீ இருந்தால்      சொர்க்க கதவையும் சாய்த்திடலாம்            முன்னப் பார்க்காதத இப்போ நீ காட்டிட      வெஷம் போல ஏறுதே சந்தோசம் (எம்புட்டு)       ஒத்த லயிட்டும் ஒன்ன நெனச்சி      குத்துவெளக்கென மாறிப்போச்சி            கண்ண கதுப்பு என்ன பறிக்க      நெஞ்சுக்குழி எது மீது ஆச்சு            பத்து தல கொண்ட இராவணனா      ஒன்ன இரசிக்கனும் தூக்கிவந்து            மஞ்சக்கயிரொன்னனு போட்டுப்புட்டு      என்ன இருட்டிலும் நீ அறிந்த            சொல்லக்கூடாதத சொல்லி ஏன் காட்டுற      மலை ஏற ஏங்குறேன்        உன் கூட எம்புட்டு இருக்குது ஆச      உன் மேல அதக்காட்டுப்போறேன்        அம்புட்டு அழகையும் நீங்க தாலாட்ட கொடியேத்த வாரேன்    ,5,குத்துபாடல்,416
வனமகன்,மதன் கார்க்கி,  ஹரிஷ் ஜெயராஜ்,எம்மா ஏ அழகம்மா,2017,"['பொம்பே ஜெயஸ்ரீ', ' ஹரிசரன் ']",எம்மம்மா அழகம்மா            இருதயம் இருதயம் மெழுகம்மா            எம்மா நீ அழகம்மா             விரல்பட விரல்பட இளகம்மா            எம்மா நீ அழகம்மா             விழிகளில் நாணங்கள் விலகம்மா            எம்மா நீர் புகழம்மா            இவனது தாங்மொழி பழகம்மா            எம்மமம்மம்மா மமமமமமமமம       எம்மமம்மம்மா மமமமமமமமம      எம்மமம்மம்மா மமமமமமமமம      எம்மமம்மம்மா மமமமமமமமம            யாரோ நீ எங்கிருந்து வந்தாய்      என் நெஞ்சில் சிறகு தந்தாய்      யாரோ நீ பூந்துயிலில் வந்தாய்      என் கண்ணில் கனவு தந்தாய்      ஒரு சில நொடி குழந்தையைப்போலே      மறு சில நொடி கடவுளைப்போலே      பல நொடிகளில் அதனினும் மேலாய் நீயானா......ய்            எம்மா ஏ அழகம்மா      இருதயம் இருதயம் மெழுகம்மா      எம்மா நீ அழகம்மா      விரல்பட விரல்பட இளகம்மா      எம்மா ஏ அழகம்மா      விழிகளில் ஆனந்தம் விலகம்மா      எம்மா நீ தமிழம்மா      இவனது தாய்மொழி பழகம்மா            வேறேதோ தூயுலகம் ஒன்றில்       இவனாலே பூக்கிறேனா      ஊனுல்லா மின்னுணர்வு ஒன்று      இவனாலே பாயிறேனா      இவனிடம் பணம் ஒரு துளி இல்லை      மனிதரின் குணம் சிறு துளி இல்லை      இவனிடம் மனம் முழுவதும் முழுவதும் தந்தேனே      திரை விலகிய மேடையைப்போலே      பனி விலகிய கோடையைப்போலே      மழை நனைந்திடும் ஆடையைப்போலே ஆனேனே      (எம்மா)       மரம் செடி கொடிகளை அனைத்தாயே      மலர்களின் இதழ்களை துடைத்தாயே      உன் கையில் நான் சேர்ந்தால் என் செய்வாய்      வனங்களின் மகனெனப்பிறந்தாயே      புலிகளின் மடிகளில் மடியினில் வளர்ந்தாயே      மான் என்னை நான் தந்தேன் என் செய்வாய்      வாராளே உன்னை உன்போல் ஏற்றியே      ஆனாலும் உண்மை என்னென்றுக்கேட்டேனே      உரைந்திடு யாரோ நீ      (யாரோ),5,காதல்பாடல்,8730
வேலைக்காரன்,விவேகா,அனிருத் ரவிச்சந்தர்,எழு வேலைக்காரா,2017,['சித்தார்த் மஹாதேவன்'],எழு வேலைக்காரா எழு வேலைக்காரா இன்றே இன்றே.  ஓயாதே சாயாதே வாய் மூடி வாழாதே.  எழு வேலைக்காரா இன்றே இன்றே இனி செய்யும் வேலை நன்றே.  அட மேலும் கீழும் ஒன்றே ஒன்றே வரலாறை மாற்று வென்றே.  வேர்வை தீயே தேசம் நீயே.  உன் சொல் கேட்டே வீசும் காற்றே.  ஓயாதே தேயாதே சாயாதே..  ஆராதே சோராதே வீழாதே.  போராடு.  எழு வேலைக்காரா இன்றே இன்றே போராடு. இனி செய்யும் வேலை நன்றே.  அட மேலும் கீழும் ஒன்றே ஒன்றே வரலாறை மாற்று வென்றே.  போராடு போராடு போராடு போராடு.  முடியாத செயல் எதுமே புவி மீது கிடையாது எழுந்து வா புயலை போலே.  பலம் என்ன புரியாமலே பணிந்தோமே குனிந்தோமே நிமிர்ந்து வா மேலே மேலே.  ஒரு முறையே தரையினில் வாழும் வாய்ப்பு அதை முறையே பயனுற வாழும் வாழ்க்கை ஆக்கு.  உழைப்பவனே எழுதிட வேண்டும் தீர்ப்பு.  விதைத்தவனே பசியென போனால் எங்கோ தப்பு  போராடு ஓயாதே தேயாதே சாயாதே. போராடு.  ஆராதே போராடு சோராதே வீழாதே போராடு.  போராடு எழு வேலைக்காரா இன்றே இன்றே.  போராடு இனி செய்யும் வேலை நன்றே.  அட மேலும் கீழும் ஒன்றே ஒன்றே வரலாறை மாற்று வென்றே.  வேர்வை தீயே தேசம் நீயே.  உன் சொல் கேட்டே வீசும் காற்றே போராடு.  ஓயாதே போராடு தேயாதே சாயாதே. போராடு.  ஆராதே சோராதே போராடு வீழாதே போராடு.  போராடு போராடு போராடு போராடு.  ஓயாதே சாயாதே வாய் மூடி வாழாதே.,2,காதல்பாடல்,345
சிங்கம்  3,Pa. விஜய் ,ஹரிஷ் ஜெயராஜ்,ஏய் சோனே சோனே,2017,"['ஜேவ்ட் அலி ', ' பிரியா சுப்ரமணியம்  ', ' M .  C .  விக்கி ']",ஜிங்கு   ஜிங்கு  மணி  ஒஸ்தாடய்ய ரிங்கு  ரிங்கு  லுக்  சேஸ்தாடய்ய ரங்கு  ரங்கு  தொங்க  காரடி சேஸ்தாடய்ய  ஜில்லு  ஜில்லுக சூஸ்தடய்ய கிள்ளி  கிள்ளி  சம்பெஸ்தடய்ய தில்லு  தில்லுக  கல்லு  கல்லுமணி பிஸ்தாடய்ய  எவேரிபடி  ஹலோ  மூவ்  இட்  லைக்  எ  ரோல்ல விதி  மாறும்  போதே  சிங்கம் மச்சான்  இங்க  வந்து  கால  வெச்சான்  நெவெர்  மெஸ்ஸிங்  வித்  ஹிம்  ஹி  பெ  ரோலிங்  யு  ஆல் இன்டர்நேஷனல்  டப்ப்ர் சிங்  இந்த  வித்  ஹிம் சாங் எ  வித்  ஹிம் பாஸ்ட் -ஆஹ்  டைட் -ஆஹ் சூப்பர்  சோனிக்   ஏய்  சோனே  சோனே  சூப்பர்  சோனிக்  வாமானே  நானே  எனர்ஜி  டானிக் ஏய்  சோனே  சோனே  சூப்பர்  சோனிக்  வெச்சி  செய்வேன்  நானே  ரொம்ப  யூனிக்  தட  ஒன்னு  தான்  போட்டு  பாரு விடா  கொண்டன  வருவேண்ட தோட்டா சட்டுனு  தீபுடிக்கும் பட்டா வாங்கி  நா  நெஞ்சன்டா டேரா  பைட்டுல  டென்ஷன்  தந்தா டெரர்  ஆகவே  நிப்பேன்டா  நல்லா பாத்துக்க என்  முகத்தில் நானும்  பக்க  சிங்கம்  டா  ஏய்  சோனே  சோனே  சூப்பர்  சோனிக்  வாமானே  நானே  எனர்ஜி  டானிக் ஏய்  சோனே  சோனே  சூப்பர்  சோனிக்  வெச்சி  செய்வேன்  நானே  ரொம்ப  யூனிக்  ராத்திரியும்  ரபிபெரியும்  ஒண்ணா  சேர்ந்து கூட என்  மண்டை  குள்ள நியூரோன்ஸ்  எல்லாம்  எதோ  ஒன்ன தேட  ராத்திரியும்  ரபிபெரியும்  ஒண்ணா  சேர்ந்து கூட என்  மண்டை  குள்ள நியூரோன்ஸ்  எல்லாம்  எதோ  ஒன்ன தேட  ஓ  சாக்சுரய  நீ  பாட  வரைய மாசக்கப்புறய்ய நான்  ஆடுவேன்  தீய இது  ஜாலிய  ஜாலியா ஓ ஓ  ஏய்  சோனே ஒசா ஒசா சுன் சோனே ஒசாக ஏய்  சோனே ஒசா ஒசா சுன் சோனே ஒசாக  ஏய்  சொன்னே   சொன்னே சொன்னே  சூப்பர்  சோனிக்  வாமானே  நானே  எனர்ஜி  டானிக் ஏய்  சொன்னே   சொன்னே சொன்னே சூப்பர்  சோனிக்  வெச்சி  செய்வேன்  நானே  ரொம்ப  யூனிக்  என்  ஒத்துக்கண்ணும் உன்ன  மட்டும் அல்ட்ரா  ஸ்கேன்  பண்ணும் எவன்  எங்க  ஓடி போனாலும்  என்  GPS-um மின்னும்  இதன்  நம்ம  அங்கம் நீ  சீண்டினா  பங்கம் வேண்டாம்  ஒரு  சங்கம் நான்  ஆயிரம்  சிங்கம் என்  காட்டுல  மாட்டுன   ஹே ஹே ஹே    ஏய்  சோனே  சோனே ஏய்  சோனே  சோனே  ஏய்  சொன்னே   சொன்னே   சூப்பர்  சோனிக்    வாமானே  நானே  எனர்ஜி  டானிக் ஏய்  சோனே  சோனே  சூப்பர்  சோனிக்  வெச்சி  செய்வேன்  நானே  ரொம்ப  யூனிக்   தடை  ஒன்னு  தான்  போட்டு  பாரு விடா  கொண்டன  வருவேண்டா தோட்டா சட்டுனு  தீபுடிக்கும் பட்டா வாங்கி  ந  நெஞ்சன்டா டெரா  பைட்டுல  டென்ஷன்  தந்தா டெரர்  ஆகவே  நிப்பேன்டா  நல்லா பாத்துக்க என்  முகத்தில் நாலூ  பக்க  சிங்கம்  டா ஏய்  சோனே  சோனே சுச்தடையா ஏய்  சோனே  சோனே பர் சிஸ்தாடைய  ஏய்  சோனே  சோனே சோஸ்தாடையா ஏய்  சோனே  சோனே கர்சிஸ்தாடையா ஏய்  சோனே  சோனே சோஸ்தாடையா ஏய்  சோனே  சோனே கர்சிஸ்தாடையா,3,கானாபாடல்,4355
அதே கண்கள் ,அதி நிகோலே,M. ஜிப்ரான் ,ஐ ஹவ் நத்திங்,2017,"[' அதி நிகோலே', ' ஜா மில் ']",லுக் அட் வாட் யூ ஹவ் டன் கிளவுடட் தி மார்னிங் சன் ஐ வுட் ஹவ் ஷின்ட் பார் யூ பட் நவ் தட் ஐ ஹவ் லேர்ன்ட் தி ட்ருத்  ஐ வோன்ட் லெட் யூ பிரேக் மீ டவ்ன் ஐ வில் டேக் வாட் ஐ ஸ்டில் ஹவ் அண்ட் கெட் அவுட் வென் யூ ஆர் பால்லிங் டீப் அஸ்லீப் ஐ வில் பி தேர் ஹன்ட்டிங் இன் யுவர் ட்ரீம்ஸ்  யூ ஷூட் நோ வென் யூ லெப்ட் மீ அலோன் தி சைலன்ஸ் ஆப் சவுண்ட்  ஹே ஐ ஹவ் நத்திங் லெப்ட் டு சே யூ ஹவ் டேகன் இட் ஆல் அவே பார் ஆல் தி ஸ்கேர்ஸ் அண்ட் ஆல் தி பெயின் ஐ எம் நெவர் கம்மிங் பேக் நவ்  ஹே வி ஹவ் நத்திங் லெப்ட் டு டூ ஐ கேவ் ஆல் ஆப் மை ஹார்ட் டு யூ பெர்ஹப்ஸ் ஐ பெல் இன் லவ் டு சூன் ஆர் மே பி ப்ராட் அஸ் டவ்ன்  டியர்ஸ் ஹவ் பாலன் லைக் தி ரெயின் அண்ட் லைட்டிங் ஸ்ட்ரக் மை சோல் பட் ஐ ஹவ் பௌன்ட் மை ஸ்ட்ரென்த் அகைன் அண்ட் ஐ வோன்ட் டேக் இட் எனிமோர்  ஹே எவ்ரிடே ஐ எம் ரிமைன்டட் ஆப் வாட் வி குட் ஹவ் பீன் எவ்ரி மொமென்ட் கம்ஸ் பேக் டு மீ ஈச் டைம் ஐ லெட் யூ இன்  தேர் இஸ் எ பைர் க்ரோயிங் இன்சைட் மீ அண்ட் இட்ஸ் ஹெட்டட் யுவர் வே ஆல் ஆப் திஸ் மேட்னஸ் குட் ஹவ் பீன் எண்டட் இப் யூ ஹட் ஜஸ்ட் ஸ்டேடட்  ஹே ஐ ஹவ் நத்திங் லெப்ட் டு சே யூ ஹவ் டேகன் இட் ஆல் அவே பார் ஆல் தி ஸ்கேர்ஸ் அண்ட் ஆல் தி பெயின் ஐ எம் நெவர் கம்மிங் பேக் நவ்  ஹே வி ஹவ் நத்திங் லெப்ட் டு டூ ஐ கேவ் ஆல் ஆப் மை ஹார்ட் டு யூ பெர்ஹப்ஸ் ஐ பெல் இன் லவ் டு சூன் ஆர் மே பி ப்ராட் அஸ் டவ்ன்  ஹே ஐ ஹவ் நத்திங் லெப்ட் டு சே யூ ஹவ் டேகன் இட் ஆல் அவே பார் ஆல் தி ஸ்கேர்ஸ் அண்ட் ஆல் தி பெயின் ஐ எம் நெவர் கம்மிங் பேக் நவ்,5,கானாபாடல்,8231
கடம்பன்,யுகபாரதி ,யுவன் சங்கர் ராஜா ,ஒத்த பார்வையில்,2017,"['ஸ்ரீமதுமிதா', '  யுவன் சங்கர் ராஜா ']",ஒத்த பார்வையில் என்ன ஏன்டி நீ       படம் போட்டுக்காட்டுற      கொத்து சாவியா நெஞ்சத்தூக்கியே       இடுப்போரம் மாட்டுற      மொத்த ஆசையும் ஒரு சேர ஒன்ன கேட்குதே பரிமாற      புத்தி மாறுதே பொழுதெல்லாம் மலையேற            முத்தப்பார்வையில் என்ன நீயும் ஏன்       படம் போட்டுக்காட்டுற      கொத்து சாவியா உன்ன தூக்கியே       இடுப்போரம் மாட்டுற......            ஊரே......... பார்க்க...... போறேன்... ஒன்னத்தூக்க            காத்தே பூவும் கூட கண்ணில் பார்க்காம      காலம் பூரா ஒன்ன காதல் செய்வேன் கேட்காம            ஏதேதோ ஏமாத்துர என் நெஞ்ச பாழாக்குற      ஆகாத பேச்ச பேசி ஆள சூடேத்துற      (ஒத்த)       வாசல்...... தான்டி...... வாரே...ன் உன வேண்டி...            என் வாழ்க்க பூரா ஒன்ன சேர்ந்தா போதாதே      வாழ்வே நீயா மாற கோடி ஜென்மம் தீராதே            அய்யய்யோ உன் பேச்சில ஆகாயம் என் கையில      ஏத்தாத என்ன நீயும் ஆச பல்லாக்குல  ,1,கானாபாடல்,2512
பாகுபலி  2,மதன் கார்க்கி ,M. M. கீரவாணி ,ஒரு யாகம் ஒரு தியாகம்,2017,['கால பைரவா '],ஒரு யாகம் ஒரு தியாகம் கதை ஒன்றோ...............      ஆரம்பம்      இரும்பென்றே  மனம் திண்மம்      நெருப்பென்றே.........      அதில் வன்மம்            மரணம் ஒன்றில் பிறக்கும் அருவம்      மரணந்தான் குடிக்கும்      அவ்வானமும் வாழ்த்தியிடிக்கும்      வா வா மன்னவா வா வா மன்னவா      மண்ணெல்லாம் பாடும்      உன் பாதத்தை வெற்றி தேடும்       பழி தாங்கி உழி வாங்கி வனைப்பானோ.........   எதிர்காலம்  உதிரத்தில் சினம் ஓடும் துளியாவும்........................      சிவம்...........................      சிவம்........................... ,5,காதல்பாடல்,5194
பாகுபலி 2,மதன் கார்க்கி,M. M. கீரவாணி,ஒரே ஓர் ஊரில்,2017,"['மோகனா ', ' திபு']",நானா நானா நானா நானா நானா      நான நான நான நான நான நானா      நானா நானா நானா நானா நானா      நான நான நான நான நான நானா            ஒரே ஓர் ஊரில் ஒரே ஓர் ராஜா      ஒரே ஓர் ஊரில் ஒரே ஓர் ராஜா      என் காதில் காதல் சொல்லுவானா      ஒரே ஓர் ஆற்றில் ஒரே ஓர் ஓடம்      தள்ளாடும் என்னைத் தாங்குவானா      வா என்று கட்டளை இட்டானா      முத்தத்தில் கைவிலங்கிட்டானா      கைதாகினால் தேவ சேனா      (நானா)       தன் போர்க்களமாய் என் மார்பில் ஏறிப்போரிடும்      மெய் தீரனா            எந்தன் கொடியை மேலேறி நாட்டவா மோகனா            வாளின் முனையில் எங்கெங்கோ       முத்தம் வைத்திடும் அரக்கனா            வாயின் முனையில் மாயங்கள் காட்டவா      காவி நா......ன்......            ஓஹோ ஹோ ஹோ......      ஓஹோ ஹோ ஹோ......      ஏகாந்த காலம் மாற்றினானா      ஓஹோ ஹோ ஹோ       தீப்போல் என் மீது பற்றினானா      தீக்கோலமாய் தேவசேனா       நானா நானா நானா நானா நானா      நான நான நான நான நான நானா      நானா நானா நானா நானா நானா      நான நான நான நான நான நானா    ஒரே ஓர் ஊரில் ஒரே ஓர் ராஜா      ஒரே ஓர் ஊரில் ஒரே ஓர் ராஜா      என் காதில் காதல் சொல்லுவானா      ஒரே ஓர் ஆற்றில் ஒரே ஓர் ஓடம்      தள்ளாடும் என்னைத் தாங்குவானா    என் நெஞ்சில் அம்பு எய்கிறானா கண் இன்றி நானும் செல்கி்றேனா பேச்சின்றியே தேவசேனா நானா நானா நானா நானா நானா      நான நான நான நான நான நானா      நானா நானா நானா நானா நானா      நான நான நான நான நான நானா   ,1,கானாபாடல்,8169
அண்ணாதுரை ,,விஜய் அன்ரனி ,ஓடாதே ஓடாதே ஞாயங்கள் தேடாதே,2017,[''],       ,2,மெல்லிசைபாடல்,498
பாகுபலி 2,மதன் கார்க்கி,M. M. கீரவாணி,கண்ணா நீ தூங்டா,2017,['நயனா நாயர் '],முறைதானா முகுந்தா......... சரிதானா சனந்தா      முறைதானா முகுந்தா......... சரிதானா சனந்தா      முறைதானா முகுந்தா......... சரிதானா சனந்தா            பூவையர் மீது கண் எய்வது முறையா      பாவை என் நெஞ்சு தினம் தேய்கின்ற பிறையா      போதுமே நீ கொஞ்சம் துயில் கொள்ளடா      கண்ணா நீ தூங்கடா  என் கண்ணா நீ தூங்கடா            உன் விரலினில் மலை சுமந்து போதுமே கண்ணா நீ தூங்கடா என் கண்ணா நீ தூங்கடா      உன் இதழினில் குழல் இசைத்தது போதுமே      கண்ணா நீ தூங்டா என் கண்ணா நீ தூங்கடா.........      கண்ணா நீ தூங்டா என் கண்ணா நீ தூங்கடா            கோபியர் குளிக்கையிலே உடைகள் திருடி களைத்தாய்      போய்விடு மாயவனே  பானையில் வெண்ணையினை      தினமும் திருடி இளைத்தாய்  தூங்கிடு தூயவனே      சா..............................மனா.........      மோ..............................கனா.........      போதும் கண்ணா நீ செய்யும் திருட்டு      வானம் எங்கும் சூழ்ந்தது இருட்டு      மார்பில் சாய்ந்து கண் மூடடா      (கண்ணா)       சோலையின் நடுவினிலே       நுழைந்தேன் அலைந்தேன் தொலைந்தேன்      தான் உனதருகினிலே   கானகம்  நடுவினிலே மயங்கி கிறங்கி கிடந்தேன்      தான் உனதழகினிலே      மா........................தவா...............      யா........................தவா............      லீலை செய்தே என்னை நீ கவிழ்க்க      காளை மோதி உன்னையும் கவிழ்க்க      காயம் என்னால் கொண்டாயடா    கண்ணா.....  முறைதானா முகுந்தா......... சரிதானா சனந்தா      முறைதானா முகுந்தா......... சரிதானா சனந்தா      முறைதானா முகுந்தா......... சரிதானா சனந்தா       மதனா மதுசூதனா மனேகரா மனே..கரா 3 ,3,கானாபாடல்,5899
முப்பரிமானம் ,,G. V. பிரகாஷ் குமார் ,கண்ணோடு கண்ணோடு,2017,['சத்யப்பிரகாஷ் '],திரதினனே தினதினனே தெனெனெரே       தனேனேரே நஹே நாஹிரே.......      தினேதினரே தினேதினரே தெனெனெரே       தெனேனேரே நஹே நாஹீரே......            கண்ணோடு கண்ணோடு கலந்துவிட்டேன்      உன்னோடு உன்னோடு தொலைந்துவிட்டேன்      வின்னோடு வின்னோடு பறந்துவிட்டேன்      எந்தன் கண்ணோடு ஒட்டிக்கொண்ட காதல் காட்சியே      நீதானே...... ஓ......... என் தேடல்... ஓ... ஓ...      உன் ஆசை உன்பார்வை உன் மேனி      உன் சேட்டை உன் கொஞ்சல்      நான் பார்த்து ஏதோ ஆனேனே......      (திரதினனே)       உன்னைவிட்டால் நெஞ்சிக்குள்ளே ஒன்னும் தோனாமல்      இத்தனை நாள் காத்திருந்தேன் உன்னைக்காணாமல்      துள்ளித்துள்ளி ஓடுகின்றப் பிள்ளைக்கண்டேனே      தூண்டில் கண்ணால் அய்யோ இன்று மாட்டிக்கொண்டேனே      வண்ண வெண்ணிலா வந்து போனதால்      தூக்கம் கண்ணிலே அது தூரம் போனதே      தண்ணீர் சிர்ப்பமாய் உன்னைக்கண்டேனே      தள்ளி நின்றேதான் நான் தாகம் கொண்டேனே      உன் ஆசை உன்பார்வை உன் மேனி      உன் சேட்டை உன் கொஞ்சல்      நான் பார்த்து ஏதோ ஆனேனே......      (திரதினனே)       பள்ளிக்கூட சீருடையில் உன்னைக் கண்டேனே      காதல் பாடம் கண்களாளே கற்றுக்கொண்டேனே      ஒற்றைக்காலில் பாண்டியாடும் பட்டாம்பூச்சியே      என்னை என்றும் வாழவைக்கும் உந்தன் மூச்சியே      சாவி இல்லாமல் ஆடும் பொம்மை நீ      தள்ளிச்சென்றாலும் என் தாயின் நன்மை நீ      மொட்டைமாடி மேல் வட்ட வெண்ணிலா      உன்னைக்கண்டாலே வானைவிட்டு ஓடாதோ      என் வீட்டு ஜன்னலில் உன் காற்றுப்பட்டாலே      தீக்கூடத்தித்திக்கும் பூவே உன்னாலே       திரதினனே தினதினனே தெனெனெரே       தனேனேரே நஹே நாஹிரே.......      தினேதினரே தினேதினரே தெனெனெரே       தெனேனேரே நஹே நாஹீரே......     (கண்ணோடு),1,குத்துபாடல்,765
 வேலைக்காரன் ,விவேகா,அனிருத் ரவிச்சந்தர் ,கருத்தவன்லாம் கலீஜாம்,2017,['அனிருத் ரவிச்சந்தர் '],கருத்தவன்லாம் கலீஜாம் கெளப்பி விட்டாங்க அந்த கருத்த மாத்துங்கொய்யால  ஏய் ஒழச்சவன்லாம் நம்பாளு ஒதுங்கி நிக்காத வா வா தெறிக்க விடுங்கொய்யால.  தக்காளி.  ஹே கருத்தவன்லாம் கலீஜாம்.  ய்யா உளச்சதெல்லாம் நம்பாளு  இந்த நகரம் இப்போதான் மாநகராச்சு இது மாற புது காரணமே நம்ம அண்ணாச்சி.  யே தகர கொட்டால சென்னை யோட அன்னை நம்ம குப்பம் தானே.  கருத்தவன்லாம் கலீஜாம் கெளப்பி உட்டாங்க கருத்த மாத்துகொய்யல.  உளச்சதெல்லாம் நம்பாளு ஒதுங்கி நிக்காத வா வா தெறிக்க வீடு கொய்யல.  தக்காளி.  கருத்தவன்லாம் கலீஜாம் உளச்சதெல்லாம் நம்பாளு.  ஏரியா காசு எல்லாரும் ஊன நிப்போம்.  யாருநு பாக்க ,2,மெல்லிசைபாடல்,1351
போகன் ,மதன் கார்க்கி,D. இமான் ,கூடு விட்டு கூடு பாஞ்சா,2017,['ஜோதி நூரன் and அரவிந் சுவாமி '],காதல்  என்பது  நேர ச்செலவு காமம்  ஒன்றே  உண்மை  துறவு நேசம்  பாசம்  போலி  உறவு எல்லாம்  கடந்து  மண்ணில்  உளவு  யாருடன்  கழிந்தது  இரவு என  ஞாபகம்  கொள்பவன்  மூடன் அணியும்  நாற்றம்  கொண்டே அவளின் பேரை  சொல்பவன்  போகன்  கூடு  விட்டு  கூடு  பாஞ்சா மேனி  விட்டு  மேனி  மேஞ்சா பின்னே  போகன்  எந்தன்  நெஞ்சின்  மேலே  சாஞ்சான் பச்சை  திராச்சை தூறல்  மேலே இச்சை  மூட்டம்  தீயோ  கீழே என்னை  நட்ட  நடு  மையத்திலே சேர்த்தான்  மொத்த  பூமியின் மோகத்து ஜோதி அது  போகன்  தின்ற  மீதி நேரினில்  போகனை காண அந்த  காமனும்  கொள்வான்  பீதி விண்ணில்   மண்ணில்  எங்கெங்கும்  போகன்  வில்லா  தனி  ஒருவனுக்குள்ளே  உள்ளே ஒரு  பிரபஞ்சமே  மறைந்திருக்கும் இவன்  மனவெளி  ரகசியம்  அதை நாசா   பேசாதா கிரகங்களை   கை  பந்தாட விரும்பிடுவானே கருங்குழிக்குள்ளே  சென்று  திரும்பிடுவானே புது புது புதையலை திறந்திடுவானே முழுவதும் ருசித்ததும் பறந்திடுவானே  விண்ணில்   மண்ணில்  எங்கெங்கும்  போகன்  வில்லா  கூடு  விட்டு  கூடு  பாஞ்சா மேனி  விட்டு  மேனி  மேஞ்சா பின்னே  போகன்  எந்தன்  நெஞ்சின்  மேலே  சாஞ்சான் பச்சை  திராச்சை தூறல்  மேலே இச்சை  மூட்டும்  தீயோ  கீழே என்னை  நட்ட  நடு  மையத்திலே சேர்த்தான்  மொத்த  பூமியின் மோகத்து ஜோதி அது  போகன்  தின்ற  மீதி நேரினில்  போகனை காண அந்த  காமனும்  கொள்வான்  பீதி விண்ணில்   மண்ணில்  எங்கெங்கும்  போகன்  வில்லா ,3,மெல்லிசைபாடல்,509
காற்று வெளியிடை ,வைரமுத்து,A. R. ரஹ்மான் ,கேளாயோ கேளாயே,2017,"['திவாகர் ', 'ஹரிசரன் ']",கேளாயோ கேளாயோ செம்பூவே...... கேளாயோ      மன்றாடும் என் உள்ளம் வாராயோ......       உன்னைப் பிரிந்தால் உன்னைப் பிரிந்தால்      உயிர் வாழா அன்றில் பறவை      நான் அன்றில் பறவை......            நீ என்னை மறந்தால் காற்றுக்கதறும்      கடலின் மேலே ஒட்டகம் நடக்கும்            ஓ... நீ என்னை மறந்தால் காற்று கதறும்     கடலின் மேலே ஒட்டகம் நடக்கும்       ஓ... நீ என்னை பிரியாய்      ஓ...... நீ என்னை மறவாய்      விட்டுப்போனால் வெட்டிப்போகும்      விண்மீனெல்லாம் கொட்டிப்போகும்      (கேளாயோ)       என் குறைகள் ஏதுக்கண்டாய்      பேசுவது காதலோ......      பேணுவது காமமோ......      பிரியமென்னப் போலியோ      ஏன் பெண்ணே இடைவெளி......      எதனா...ல் பிரிந்தா...ய்      பிரிந்தா...ய் எதனா...ல்      மறந்தாய் மறந்தாய்     (கேளாயோ)  ,2,காதல்பாடல்,2599
